Konzepte;Typ;Synonyme;Wortformen;;;
dürrebedingt;intern;;dürrebedingte, dürrebedingtes, dürrebedingten, dürrebedingter;;;
Typologie von Dürreereignissen;intern;;;;;
meteorologische Dürre;intern;;meteorologischer Dürre, meteorologische Dürren;;;
hydrologische Dürre;intern;;hydrologische Dürren, hydrologischer Dürre;;;
landwirtschaftliche Dürre;intern;;landwirtschaftlicher Dürre, landwirtschaftliche Dürren;;;
sozio-ökonomische Dürre;intern;;sozio-ökonomische Dürren, sozio-ökonomischer Dürre;;;
Palmer-Dürre-Index;intern;;;;;
Dürrenschaden ;intern;Folgen von Dürren;Dürrenschäden;;;
geringere Ernten, hohe Preise für geernteten Güter ;intern;;;;;
Engpässe in der Stromversorgung;intern;;;;;
Bodenerosion;intern;;;;;
schlimmste Dürre des Jahrtausends, Deutschland, 1540;intern;;schlimmster Dürre des Jahrtausends, Deutschland, 1540;;;
schneearmer Winter;intern;;schneearm, schneearmes, schneearmen;;;
Waldbrand ;intern;Flurbrand, Vegetationsbrand;Waldbrände;;;
Waldbrandgefahr;intern;;Waldbrandgefahren;;;
Waldbrandgefahrenstufe;intern;Waldbrandgefahrenindex;Waldbrandgefahrenstufen;;;
Waldbrandstatistik;intern;;Waldbrandstatistiken;;;
Waldbrand-Beobachtungssystem;intern;Waldbrandüberwachungsflüge;Waldbrand-Beobachtungssysteme;;;
Waldbrandüberwachungsflug;intern;;Waldbrandüberwachungsflüge;;;
Waldbrandjahr;intern;;Waldbrandjahre, Waldbrandjahren;;;
Waldbrandausrüstung;intern;;;;;
Waldbrandbekämpfung;intern;;;;;
Hydrologische;intern;;Hydrologischer, Hydrologisches, Hydrologischen, Hydrologischem;;;
Lawine;intern;;Lawinen;;;
Lawinenauslöser;intern;Lawinenauslösung;;;;
Schwachschicht;intern;;Schwachschichten;;;
Schneebrett;intern;;Schneebretts, Schneebrettes, Schneebretter, Schneebrette, Schneebrettern;;;
menschliche Aktivität;extern;;meschliche Aktivitäten;;;
Schneeschuhwanderer;intern;;;;;
Gleitschneelawine;intern;;Gleitschneelawine;;;
Lockerschneelawine;intern;;Lockerschneelawinen;;;
Schneedecke;intern;Schneeschicht;;;;
großer Temperaturuntteschied;extern;;große Temperaturuntteschiede;;;
Schneekörner;intern;;;;;
Schneekristall;intern;;Schneekristalle, Schneekristallen, Schneekristalls;;;
vereiste Rutschfläche;intern;;vereiste Rutschflächen;;;
Schneeprofil;intern;Ramm-/Schichtprofil (RSP);;;;
Sicherheitausrüstung für Skitouren;intern;;;;;
Lawinenairbag;intern;Luftkissen;Lawinenairbags;;;
Lawinenschaufel;intern;;Lawinenschaufeln;;;
Lawinensond;intern;;Lawinensonde;;;
Lawinenverschüttetensuchgerät (LVS);intern;;Lawinenverschüttetensuchgeräte (LVS);;;
Lawinen-Rucksack;intern;;Lawinen-Rucksäcke;;;
Lawinendienst;intern;;Lawinendienste;;;
Rettungskraft;intern;Bergwache;Rettungskräfte;;;
