"Word,""Frequency"""
('gleitschneelawine', 'löste'),1
('2019', 'lawinenstufe'),1
('abseits', 'lawinenstufe'),1
('abfahrt', 'lawine'),1
('jedoch', 'lawine'),1
('fuchs', 'lawinenüberlebenderauch'),1
('franziska', 'lawinenüberlebenderauch'),1
('geschneit', 'lawinenwarnstufe'),1
('drei', 'lawinenwarnstufe'),1
('drei', 'lawinenwarndienst'),1
('lawinenwarndienst', 'zufolge'),1
('dadurch', 'lockerschneelawinen'),1
('auslösen', 'lockerschneelawinen'),1
('große', 'schneebrettlawinen'),1
('geringe', 'schneebrettlawinen'),1
('gleitschneelawinen', 'mittelgroße'),1
('auslösen.zum', 'gleitschneelawinen'),1
('kommt', 'lawinewenn'),1
('lawinewenn', 'schicht'),1
('einbricht', 'lawine'),1
('entstehtwenn', 'lawine'),1
('bedingungen', 'lawine'),1
('lawine', 'regel'),1
('größere', 'lawinengefahrnicht'),1
('lawinengefahrnicht', 'schwachschicht'),1
('hälfte', 'lawine'),1
('hälfte', 'lawinenunfälle'),1
('alpen', 'lawinenunfälle'),1
('fallen', 'lawinenwarndienst'),1
('erhöhte', 'lawinengefahr'),1
('1.400', 'lawinengefahr'),1
('lawinenwarndienst', 'mit.der'),1
('lawinenwarndienstes', 'meldung'),1
('dienstagnachmittag', 'lawinenwarndienstes'),1
('lawinenunfall', 'tödlichen'),1
('lawinenunfall', 'zwei'),1
('lawine', 'mann'),1
('lawine', 'mitgerissender'),1
('54-jährige', 'lawinenabgang'),1
('beobachten', 'lawinenabgang'),1
('lawinenwarndienst', 'stufe'),1
('ausgegeben', 'lawinengefahr'),1
('lawinenverhältnisse', 'sichere'),1
('erfordert', 'lawinenverhältnisse'),1
('lawinenunglücke', 'schwere'),1
('gegeben.zum', 'lawinenunglücke'),1
('ausrüstung', 'lawinenretter'),1
('lawinenretter', 'österreich'),1
('lawinenabgang', 'menschen'),1
('lawinenabgang', 'salzburger'),1
('begrabendie', 'lawine'),1
('lawinenunglücken', 'menschen'),1
('lawinenunglücken', 'vergangenen'),1
('drei', 'lawine'),1
('gehabt', 'lawinenabgang'),1
('lawinenabgang', 'staufenkar'),1
('anker', 'lawine'),1
('lawine', 'unten'),1
('höhenmeter', 'lawinenunfall'),1
('ereignete', 'lawinenunfall'),1
('lawinen-verschütteten-suchgerät', 'nahm'),1
('300', 'lawinen-verschütteten-suchgerät'),1
('lawine', 'suchten'),1
('lawine', 'möglichen'),1
('einsatz.lawinenwarndienst', 'notärzte'),1
('einsatz.lawinenwarndienst', 'mäßige'),1
('lawinengefahrlaut', 'mäßige'),1
('bayerischen', 'lawinengefahrlaut'),1
('herrscht', 'lawinenwarndienst'),1
('heißt', 'lawinenlagebericht'),1
('lawinenlagebericht', 'schneebretter'),1
('lawinengefahr', 'winterlich'),1
('langsam', 'lawinengefahr'),1
('gesteinslawinedie', 'heißer'),1
('einwohner', 'gesteinslawinedie'),1
('heiße', 'lawine'),1
('kleinsten', 'lawine'),1
('erdfall', 'lawinen'),1
('lahare', 'lawinen'),1
('lawinen', 'nachfolgenden'),1
('lawinen', 'schneedruck'),1
('lawinen', 'naturkatastrophen'),1
('lawinen', 'prognosen'),1
('lawinengletscher', 'talgletscher'),1
('lawinengletscher', 'lawinenkesselgletscher'),1
('gletscher', 'lawinenkesselgletscher'),1
