Word;Frequency;
sofort;11;
waldboden;11;
entfachen;11;
größere;11;
europas;11;
stand;11;
wenig;11;
flugzeug;11;
macht;11;
entstehen;11;
fällen;11;
ermittelt;11;
sechs;11;
kämpften;11;
schwere;11;
touristen;11;
cham;11;
nachmittagsstunden;11;
alarmiert;11;
abgebrannt;11;
hof;11;
rettungskräfte;11;
sachsen;11;
polizeihubschrauber;11;
darum;11;
arbeiten;11;
bayerische;11;
amberg-sulzbach;11;
sprengplatz;11;
roman;11;
verboten;11;
acht;10;
urlaub;10;
ursachen;10;
6.000,00;1;
dpa;10;
2022;1;
völlig;10;
millionen;10;
bekommen;10;
teilweise;10;
komplett;10;
staatliche;10;
nachfrage;10;
warnte;10;
risiko;10;
ausland;10;
blieb;10;
schwierig;10;
brandort;10;
meteorologen;10;
zusammen;10;
folge;10;
temperatur;10;
aktuellen;10;
auslöser;10;
katalysatoren;10;
innerhalb;10;
hinweise;10;
vernichtet;10;
kleinen;10;
fliegen;10;
feuerwehrschule;10;
ortsteil;10;
nachrichtenagentur;10;
weiteres;10;
größeren;10;
zivilschutzes;10;
400;1;
entfacht;10;
breitete;10;
2.000,00;1;
größer;10;
main-spessart;10;
hantieren;10;
mitteilung;10;
erste;10;
bergwacht;10;
südwesten;10;
10.000,00;1;
wetter;10;
vereinzelt;10;
ausbreitung;10;
freien;10;
bürgermeister;10;
bekämpfen;10;
beschädigt;10;
solle;10;
südeuropa;10;
feuerwehrkräfte;10;
beschäftigt;10;
angrenzenden;10;
sachschaden;10;
walten;10;
feuerwehrmann;10;
fahrlässigkeit;10;
donau;10;
behörde;10;
liegende;10;
schweren;10;
katalysator;10;
informationen;9;
notstand;9;
einzelnen;9;
niño;9;
rundfunk;9;
danach;9;
griff;9;
größe;9;
thomas;9;
katastrophenfall;9;
besucher;9;
angefordert;9;
500;9;
monaten;9;
böden;9;
schneller;9;
waldes;9;
hundert;9;
nötig;9;
mögliche;9;
flüchten;9;
komme;9;
deswegen;9;
bilder;9;
bild;9;
fire;9;
später;9;
unterwegs;9;
gemacht;9;
funk;9;
freiwillige;9;
ernstfall;9;
katastrophenschutz;9;
hält;9;
münchen;9;
zeigen;9;
verschiedenen;9;
unterdessen;9;
kreisbrandinspektion;9;
31.;9;
ansbach;9;
ausgebildete;9;
waldbrandes;9;
rechnet;9;
fahrzeugen;9;
gironde;9;
frankreichs;9;
landkreises;9;
brandherde;9;
flughelfer;9;
speziell;9;
sächsischen;9;
daher;9;
gebiete;9;
anwohner;9;
heißer;9;
durchgeführt;9;
ausgelöst;9;
luftbeobachtungsflüge;9;
brandenburg;9;
quadratkilometern;9;
funkenflug;9;
jeweils;9;
reise;9;
augsburg;9;
folgenschweren;9;
athens;9;
löschfahrzeuge;9;
nadelstreu;9;
zweige;9;
ott;9;
dutzende;8;
staaten;8;
berichten;8;
hitzewellen;8;
bewohner;8;
passiert;8;
osten;8;
tote;8;
gar;8;
weit;8;
nehmen;8;
tausend;8;
österreich;8;
starke;8;
maschinen;8;
befinden;8;
wanderer;8;
pro;8;
auswirkungen;8;
pflanzen;8;
waldbrandgefahrenindex;8;
daran;8;
kollegen;8;
betroffene;8;
hätte;8;
meist;8;
zigaretten;8;
wichtig;8;
bevor;8;
verursacht;8;
heißen;8;
gemessen;8;
