Word;Frequency;
sonnenbrand;11;
schweinfurt;11;
offenbar;11;
falle;11;
gebiete;11;
fischer;11;
brandgefahr;11;
badeseen;11;
joachim;11;
herausforderung;11;
wasserstände;11;
möglichkeiten;11;
bittet;11;
unwetter;11;
umweltbundesamt;11;
üblich;11;
rettungskräfte;11;
jahrhunderts;11;
nachdem;11;
starker;11;
staatliche;11;
vogel;11;
hitzebedingten;11;
recht;11;
vermehrt;11;
bäche;11;
brannte;11;
personen;11;
alarmiert;11;
zeigte;11;
männer;11;
keinesfalls;11;
morgenstunden;11;
berlin;11;
br-anfrage;11;
ozon;11;
kreislauf;11;
hitzeschutz;11;
forschenden;11;
harald;11;
wetteraufzeichnungen;11;
staatsregierung;11;
hitzefrei;11;
zahlreichen;11;
verbot;11;
betonte;11;
friedberger;11;
kliniken;11;
kleidung;11;
1990;11;
goldammer;11;
selten;10;
gefunden;10;
zentrum;10;
befindet;10;
ändern;10;
seite;10;
guter;10;
mensch;10;
hinweise;10;
einfluss;10;
essen;10;
verlassen;10;
zweite;10;
kind;10;
erwärmung;10;
beide;10;
schätzt;10;
nein;10;
dürften;10;
befürchtet;10;
untergrund;10;
bietet;10;
versorgen;10;
räume;10;
teich;10;
michaela;10;
gezeigt;10;
wichtiger;10;
aufnehmen;10;
kühlung;10;
umgesetzt;10;
dach;10;
waldstück;10;
vorsichtig;10;
klimakrise;10;
twitter;10;
ursachen;10;
bedeuten;10;
überschritten;10;
großteil;10;
österreich;10;
januar;10;
eingeschränkt;10;
messungen;10;
kälte;10;
würzburger;10;
zweiten;10;
schließen;10;
aufgabe;10;
nachfrage;10;
freistaats;10;
gespräch;10;
nahrung;10;
gelte;10;
entdeckt;10;
schlechte;10;
hütte;10;
höheren;10;
idee;10;
duschen;10;
kostenlos;10;
sehe;10;
letztes;10;
gehören;10;
braun;10;
verteilt;10;
genauso;10;
genommen;10;
außentemperatur;10;
europas;10;
co2;10;
niederbayerischen;10;
weins;10;
untermain;10;
anschließend;10;
kämen;10;
anzahl;10;
hängen;10;
drohen;10;
landkreise;10;
versorgt;10;
schlimmsten;10;
mains;10;
ebenso;10;
blaualgen;10;
steigende;10;
schlagen;10;
weiher;10;
neues;10;
forellen;10;
höchstwerte;10;
leitstelle;10;
abkühlen;10;
französische;10;
nutzung;10;
hierfür;10;
voll;10;
somit;10;
weiterer;10;
flugzeuge;10;
31.;10;
entnommen;10;
gardasee;10;
körpertemperatur;10;
belastet;10;
entnahme;10;
länder;10;
luftrettungsstaffel;10;
gelände;10;
beschwerden;10;
pannermayr;10;
grillen;10;
kalt;10;
stieg;10;
einsätze;10;
ausgerufen;10;
dürren;10;
sachschaden;10;
meldet;10;
globalen;10;
kelheim;10;
monat;10;
energien;10;
eichstätt;10;
vorsitzende;10;
bisherige;10;
angekündigt;10;
hitzetoten;10;
hitzestress;10;
wärmebelastung;10;
todesfälle;10;
blutdruck;10;
traidl-hoffmann;10;
paeth;10;
ökosysteme;10;
katalysator;10;
abo;10;
inneren;9;
kilometern;9;
erzeugt;9;
fahrgäste;9;
tickets;9;
buchen;9;
tieferen;9;
niedrigwassersituation;9;
bild;9;
hochwasser;9;
dächer;9;
trinkwasserversorgung;9;
rest;9;
frankenwald;9;
geschützt;9;
verändert;9;
ideal;9;
zunehmen;9;
beste;9;
schafft;9;
1;5;9
raten;9;
schreibt;9;
schlechter;9;
möglichen;9;
dicken;9;
längst;9;
zählt;9;
technik;9;
benötigt;9;
kostet;9;
susanne;9;
böll;9;
entwickeln;9;
ringpark;9;
fit;9;
altstadt;9;
verbrauchen;9;
geplant;9;
bestand;9;
fichten;9;
hans;9;
starben;9;
bestände;9;
freuen;9;
überschwemmungen;9;
einzige;9;
forschung;9;
wahrscheinlichkeit;9;
führte;9;
leider;9;
bäumchen;9;
heraus;9;
nördlich;9;
schwandorf;9;
gerechnet;9;
treffen;9;
erstmals;9;
3.000,00;9;
erhöhte;9;
planung;9;
massive;9;
massiven;9;
spürbar;9;
grundwasserspiegel;9;
durchschnittstemperatur;9;
tödliche;9;
denken;9;
gramm;9;
vorräte;9;
gutes;9;
600;9;
sammeln;9;
personal;9;
anfrage;9;
gesehen;9;
sommers;9;
kleiner;9;
verhindert;9;
deggendorf;9;
krankheiten;9;
größe;9;
obst;9;
katastrophe;9;
geeignet;9;
landwirtschaftliche;9;
verdunstet;9;
bereit;9;
abgeben;9;
gründe;9;
erträglich;9;
umso;9;
arbeitet;9;
heiko;9;
haus;9;
geringer;9;
hopfen;9;
bieten;9;
entsprechend;9;
leute;9;
weinberge;9;
schauen;9;
glas;9;
solange;9;
lernen;9;
verschiedene;9;
urlauber;9;
regional;9;
himmel;9;
regnen;9;
äpfel;9;
trend;9;
füllen;9;
zeitpunkt;9;
bericht;9;
hunde;9;
algen;9;
regenfälle;9;
lamm;9;
ufer;9;
bestimmte;9;
rukwied;9;
alarm;9;
dürfe;9;
hitzeperiode;9;
nachbarn;9;
hintergründe;9;
rhein;9;
circa;9;
weite;9;
frauen;9;
nachrichtenagentur;9;
unterschiedlichen;9;
muscheln;9;
akuten;9;
kämpften;9;
unterdessen;9;
stufe;9;
entdecken;9;
rauchverbot;9;
baumbestand;9;
zusätzlichen;9;
geräte;9;
vorhanden;9;
wesentlich;9;
beschädigt;9;
verband;9;
verschärft;9;
gmbh;9;
einsatzkräften;9;
frankreichs;9;
quadratkilometer;9;
tausend;9;
vorerst;9;
prognostiziert;9;
voraussetzungen;9;
selber;9;
bitte;9;
biotonne;9;
rathaus;9;
peter;9;
ausgesprochen;9;
passiert;9;
gestern;9;
luftbeobachtung;9;
tages;9;
oberle;9;
silikat;9;
kaltes;9;
kirchen;9;
erneuerbaren;9;
neumarkt;9;
schwab;9;
kampf;9;
fahrlässigkeit;9;
großbritannien;9;
sommerhitze;9;
gestorben;9;
br24live;9;
eiskanal;9;
ministerin;9;
patienten;9;
flughafen;9;
gaß;9;
ingolstadt;9;
lauterbach;9;
sterner;9;
bauernverbandes;9;
forstleute;9;
indiens;9;
laken;9;
mithilfe;8;
durchmesser;8;
prallen;8;
100.000,00;8;
erholt;8;
außerhalb;8;
gelangt;8;
parks;8;
waldes;8;
gesellschaft;8;
smartphone;8;
entspannung;8;
private;8;
völlig;8;
kindern;8;
zuständig;8;
alternative;8;
doppelt;8;
weinbau;8;
gartenbau;8;
schritt;8;
sachen;8;
freut;8;
konkret;8;
zurecht;8;
ergeben;8;
schnee;8;
glaube;8;
entnehmen;8;
schrieb;8;
gebeten;8;
unterstützen;8;
verändern;8;
roten;8;
gesunken;8;
stephan;8;
kalte;8;
bildet;8;
bitten;8;
