Parent IDs;ID;Konzepte;Typ;Synonyme;Wortformen;;;
;254;Dürresommer;intern;;Dürresommers;;;
;255;Dürremonitor;intern;;Dürremonitore, Dürremonitoren;;;
;256;Dürre-Notstand;intern;;;;;
;257;Dürregefahr;intern;;;;;
;258;Dürresituation;intern;;Dürresituationen;;;
;260;Dürreproblem;intern;;Dürreprobleme;;;
;261;Dürreszenario;intern;;;;;
;263;dürrebedingt;intern;;dürrebedingte, dürrebedingtes, dürrebedingten, dürrebedingter;;;
152;154;Typologie von Dürreereignissen;intern;;;;;
;155;meteorologische Dürre;intern;;meteorologischer Dürre, meteorologische Dürren;;;
;156;hydrologische Dürre;intern;;hydrologische Dürren, hydrologischer Dürre;;;
;157;landwirtschaftliche Dürre;intern;;landwirtschaftlicher Dürre, landwirtschaftliche Dürren;;;
;158;sozio-ökonomische Dürre;intern;;sozio-ökonomische Dürren, sozio-ökonomischer Dürre;;;
;160;Palmer-Dürre-Index;intern;;;;;
;161;Dürrenschaden ;intern;Folgen von Dürren;Dürrenschäden;;;
;162;geringere Ernten, hohe Preise für die geernteten Güter ;intern;;;;;
;163;Engpässe in der Stromversorgung;intern;;;;;
;165;Bodenerosion;intern;;;;;
;166;schlimmste Dürre des Jahrtausends, Deutschland, 1540;intern;;;;;
;265;schneearmer Winter;intern;;schneearm, schneearmes, schneearmen;;;
117;167;Waldbrand ;intern;Flurbrand, Vegetationsbrand;Waldbrände;;;
;168;Waldbrandgefahr;intern;;Waldbrandgefahren;;;
;169;Waldbrandgefahrenstufe;intern;Waldbrandgefahrenindex;Waldbrandgefahrenstufen;;;
;170;Waldbrandstatistik;intern;;Waldbrandstatistiken;;;
;171;Waldbrand-Beobachtungssystem;intern;Waldbrandüberwachungsflüge;Waldbrand-Beobachtungssysteme;;;
;;Waldbrandüberwachungsflug;intern;;Waldbrandüberwachungsflüge;;;
;172;Waldbrandjahr;intern;;Waldbrandjahre;;;
;173;Waldbrandausrüstung;intern;;;;;
;;Waldbrandbekämpfung;intern;;;;;
2;174;Hydrologische;intern;;Hydrologischer, Hydrologisches, Hydrologischen, Hydrologischem;;;
;175;Lawine;intern;;Lawinen;;;
;176;Lawinenauslöser;intern;Lawinenauslösung;;;;
;177;Schwachschicht;intern;;Schwachschichten;;;
;178;Schneebrett;intern;;;;;
;179;menschliche Aktivität;extern;;meschliche Aktivitäten;;;
;180;Schneeschuhwanderer;intern;;;;;
;182;Gleitschneelawine;intern;;Gleitschneelawine;;;
;183;Lockerschneelawine;intern;;Lockerschneelawinen;;;
;184;Schneedecke;intern;Schneeschicht;;;;
;185;großer Temperaturuntteschied;extern;;große Temperaturuntteschiede;;;
;186;Schneekörner;intern;;;;;
;187;Schneekristall;intern;;Schneekristalle;;;
;188;vereiste Rutschfläche;intern;;vereiste Rutschflächen;;;
;189;Schneeprofil;intern;Ramm-/Schichtprofil (RSP);;;;
;190;Sicherheitausrüstung für Skitouren;intern;;;;;
;191;Lawinenairbags;intern;Luftkissen;;;;
;192;Lawinenschaufel;intern;;Lawinenschaufeln;;;
;193;Lawinensond;intern;;Lawinensonde;;;
;194;Lawinenverschüttetensuchgerät (LVS);intern;;Lawinenverschüttetensuchgeräte (LVS);;;
;195;Lawinen-Rucksack;intern;;Lawinen-Rucksäcke;;;
;197;Lawinendienst;intern;;Lawinendienste;;;
;198;Rettungskraft;intern;;Rettungskräfte;;;
;199;Lawinenrettungsgruppe;intern;;Lawinenrettungsgruppen;;;
;200;Lawinenopfer;intern;;;;;
;201;Verschüttete;intern;;Verschüttete, Verschütteter, Verschüttetes, Verschüttetem, Verschütteten;;;
;202;Todesopfer nach Lawinenunglück;intern;;;;;
;203;Erfrorene;intern;;Erfrorene, Erfrorener, Erfrorenes, Erfrorenem, Erfrorenen;;;
;204;Lawinengefahr;intern;;;;;
;205;Lawinenrisiko;intern;;Lawinenrisiken;;;
;;Lawinenkunde;intern;;;;;
;206;Hangneigung: Einschätzung der Lawinengefahr;intern;;;;;
;207;Sicherheit während Skitouren;intern;;;;;
;208;Neigungswinkel des Hanges;extern;;;;;
;209;Gradient;extern;;;;;
;210;Lawinenabgang;intern;;Lawinenabgänge;;;
;211;Lawinengefahrenstufe;intern;;Lawinengefahrenstufen;;;
;212;Lawinenwarnung;intern;;;;;
;213;Berechnung von Lawinenwarnzone;intern;;;;;
;;Lawinenlagebericht;intern;;Lawinenlageberichte, Lawinenlageberichten;;;
